work-with-hoi	Work with Hoi	AI done properly, from a free talk to a full build.
claude-code-harness-architect	AI Managed Harness Services	A custom AI harness that automates your routine work.
automation-services	Business Automation Services	Done-for-you AI automation. I build it, you own it.
ai-adoption-training	AI Adoption Training	Your team learns to use AI properly, on real work.
pricing-billing	Pricing & Billing	Pricing for every AI service, including the free one.
portfolio	Portfolio	Real-world AI work, built and shipped for clients.
portfolio/cu-architects	CU Architects	A real client outcome: built & automated by HOIBOY AI LTD.
portfolio/singerandsteel	Singer & Steel	Knowing when NOT to automate: a real client outcome by HOIBOY AI LTD.
portfolio/chung-ying	Chung Ying	A real client outcome: case study coming soon.
ai-product-builder	AI Product Demo/MVP/Prototype Builder	I build your demo, MVP, or prototype. Test an idea, fast.
ai-adoption-talk	AI Adoption Talk (FREE)	Free AI talk at your London office. 45 mins, no strings.
